Age,Overall,Potential,Value_Raw,Wage_Raw,Wage_Numeric,Height_cm,Weight_kg,Crossing,Finishing,Heading_accuracy,Short_passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_passing,Ball_control,Acceleration,Sprint_speed,Agility,Reactions,Balance,Shot_power,Jumping,Stamina,Strength,Long_shots,Aggression,Interceptions,Vision,Penalties,Composure,Standing_tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Positions_CAM,Positions_CB,Positions_CDM,Positions_CF,Positions_CM,Positions_GK,Positions_LAM,Positions_LB,Positions_LCB,Positions_LCM,Positions_LDM,Positions_LM,Positions_LS,Positions_LW,Positions_LWB,Positions_RAM,Positions_RB,Positions_RCB,Positions_RCM,Positions_RDM,Positions_RES,Positions_RF,Positions_RM,Positions_RS,Positions_RW,Positions_RWB,Positions_ST,Preferred_Foot_Left,Preferred_Foot_Right
18.0,55.0,70.0,101,73,0.0,188.0,75.0,51.0,50.0,44.0,54.0,40.0,55.0,43.0,37.0,52.0,56.0,62.0,63.0,54.0,50.0,63.0,53.0,46.0,51.0,53.0,35.0,49.0,29.0,54.0,48.0,52.0,36.0,13.0,12.0,7.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
32.0,72.0,72.0,2,98,6000.0,189.0,90.0,14.0,18.0,14.0,38.0,14.0,16.0,12.0,14.0,41.0,23.0,55.0,54.0,51.0,67.0,43.0,52.0,72.0,36.0,75.0,16.0,21.0,21.0,50.0,19.0,60.0,11.0,72.0,68.0,69.0,73.0,74.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18.0,64.0,82.0,4,61,3000.0,173.0,67.0,64.0,38.0,49.0,62.0,27.0,66.0,54.0,34.0,40.0,65.0,81.0,84.0,82.0,54.0,77.0,56.0,59.0,65.0,49.0,27.0,65.0,55.0,51.0,42.0,50.0,63.0,9.0,15.0,6.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
26.0,64.0,64.0,179,30,1000.0,177.0,72.0,42.0,69.0,73.0,55.0,61.0,58.0,40.0,34.0,43.0,62.0,61.0,65.0,59.0,61.0,75.0,56.0,76.0,63.0,69.0,50.0,35.0,15.0,47.0,72.0,59.0,16.0,10.0,13.0,14.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18.0,52.0,69.0,64,73,0.0,173.0,68.0,48.0,44.0,38.0,51.0,40.0,53.0,51.0,50.0,50.0,51.0,74.0,71.0,75.0,47.0,78.0,46.0,39.0,59.0,42.0,48.0,36.0,35.0,51.0,42.0,52.0,40.0,8.0,15.0,8.0,11.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
24.0,58.0,64.0,79,48,2000.0,187.0,78.0,14.0,9.0,14.0,26.0,6.0,12.0,13.0,13.0,23.0,18.0,28.0,35.0,32.0,53.0,39.0,44.0,43.0,26.0,45.0,9.0,21.0,9.0,34.0,16.0,33.0,13.0,59.0,57.0,58.0,56.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31.0,71.0,71.0,6,15,14000.0,186.0,82.0,35.0,74.0,76.0,62.0,74.0,67.0,37.0,46.0,50.0,66.0,54.0,59.0,63.0,67.0,34.0,79.0,86.0,66.0,92.0,69.0,62.0,27.0,57.0,56.0,64.0,17.0,16.0,8.0,15.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
21.0,56.0,64.0,101,48,2000.0,181.0,72.0,41.0,32.0,50.0,27.0,26.0,59.0,40.0,38.0,29.0,37.0,60.0,55.0,51.0,56.0,65.0,28.0,52.0,59.0,51.0,33.0,57.0,55.0,41.0,39.0,36.0,64.0,9.0,9.0,11.0,6.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,67.0,70.0,2,48,2000.0,185.0,77.0,56.0,39.0,66.0,62.0,35.0,60.0,49.0,35.0,56.0,62.0,69.0,68.0,70.0,65.0,72.0,52.0,75.0,64.0,71.0,38.0,62.0,64.0,48.0,36.0,56.0,68.0,12.0,7.0,8.0,10.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19.0,60.0,77.0,169,48,2000.0,182.0,75.0,14.0,9.0,20.0,28.0,7.0,12.0,13.0,11.0,38.0,19.0,38.0,21.0,29.0,53.0,46.0,44.0,45.0,21.0,42.0,6.0,32.0,12.0,36.0,16.0,39.0,13.0,59.0,60.0,58.0,57.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20.0,57.0,65.0,113,73,0.0,175.0,70.0,51.0,51.0,38.0,55.0,47.0,57.0,58.0,50.0,53.0,60.0,79.0,71.0,85.0,51.0,87.0,62.0,42.0,66.0,35.0,58.0,46.0,46.0,55.0,49.0,59.0,47.0,8.0,7.0,13.0,12.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29.0,61.0,61.0,106,72,4000.0,187.0,82.0,32.0,71.0,72.0,43.0,53.0,45.0,34.0,35.0,23.0,43.0,38.0,34.0,40.0,64.0,50.0,72.0,74.0,40.0,80.0,63.0,47.0,35.0,37.0,56.0,82.0,23.0,12.0,12.0,14.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
28.0,68.0,68.0,2,6,11000.0,180.0,73.0,66.0,64.0,55.0,68.0,77.0,70.0,72.0,74.0,55.0,72.0,71.0,71.0,78.0,55.0,66.0,78.0,67.0,68.0,60.0,76.0,55.0,45.0,68.0,65.0,73.0,25.0,12.0,11.0,6.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22.0,66.0,69.0,2,41,25000.0,192.0,79.0,61.0,61.0,62.0,65.0,56.0,65.0,58.0,50.0,56.0,66.0,76.0,78.0,66.0,61.0,61.0,68.0,78.0,59.0,71.0,59.0,61.0,48.0,59.0,60.0,61.0,48.0,6.0,10.0,11.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
21.0,74.0,83.0,207,52,32000.0,185.0,76.0,77.0,70.0,64.0,77.0,59.0,69.0,78.0,74.0,76.0,72.0,71.0,74.0,76.0,74.0,77.0,77.0,76.0,83.0,71.0,72.0,75.0,65.0,78.0,82.0,77.0,71.0,11.0,12.0,8.0,12.0,13.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21.0,79.0,86.0,108,87,60000.0,171.0,65.0,53.0,64.0,62.0,82.0,53.0,79.0,64.0,53.0,79.0,82.0,66.0,58.0,78.0,78.0,84.0,68.0,65.0,71.0,55.0,65.0,79.0,77.0,79.0,51.0,78.0,80.0,12.0,14.0,11.0,8.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19.0,52.0,64.0,47,30,1000.0,185.0,76.0,46.0,22.0,42.0,48.0,23.0,48.0,28.0,27.0,44.0,44.0,61.0,63.0,58.0,46.0,58.0,28.0,51.0,59.0,64.0,27.0,47.0,45.0,30.0,31.0,33.0,52.0,7.0,8.0,7.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.0,51.0,66.0,22,73,0.0,185.0,78.0,10.0,5.0,12.0,15.0,8.0,12.0,11.0,12.0,27.0,17.0,31.0,35.0,38.0,36.0,46.0,41.0,63.0,30.0,58.0,9.0,26.0,14.0,32.0,16.0,34.0,14.0,57.0,45.0,55.0,51.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29.0,80.0,80.0,63,88,61000.0,182.0,76.0,82.0,77.0,59.0,81.0,80.0,83.0,84.0,77.0,80.0,84.0,74.0,72.0,79.0,78.0,76.0,82.0,70.0,75.0,63.0,83.0,45.0,45.0,81.0,70.0,82.0,43.0,13.0,9.0,6.0,12.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
19.0,55.0,70.0,84,112,0.0,176.0,72.0,42.0,32.0,57.0,64.0,34.0,44.0,42.0,41.0,51.0,49.0,64.0,68.0,62.0,57.0,65.0,53.0,66.0,50.0,67.0,34.0,43.0,52.0,51.0,44.0,46.0,57.0,5.0,14.0,9.0,10.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24.0,59.0,64.0,113,86,0.0,184.0,78.0,49.0,36.0,49.0,62.0,33.0,58.0,40.0,41.0,61.0,62.0,70.0,72.0,72.0,58.0,72.0,51.0,60.0,65.0,61.0,45.0,56.0,59.0,58.0,40.0,58.0,58.0,13.0,13.0,13.0,8.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29.0,70.0,70.0,6,3,10000.0,185.0,84.0,70.0,65.0,55.0,74.0,57.0,72.0,76.0,76.0,70.0,72.0,68.0,69.0,71.0,65.0,69.0,77.0,63.0,68.0,73.0,76.0,60.0,52.0,69.0,55.0,70.0,54.0,11.0,11.0,12.0,12.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28.0,66.0,66.0,196,72,4000.0,174.0,65.0,68.0,30.0,62.0,61.0,22.0,59.0,60.0,40.0,58.0,64.0,73.0,73.0,68.0,60.0,70.0,42.0,72.0,77.0,64.0,28.0,57.0,60.0,60.0,41.0,54.0,62.0,13.0,9.0,11.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
29.0,65.0,65.0,188,73,0.0,180.0,79.0,51.0,67.0,66.0,62.0,65.0,61.0,45.0,41.0,51.0,59.0,66.0,70.0,58.0,65.0,59.0,66.0,74.0,55.0,71.0,58.0,50.0,33.0,51.0,63.0,58.0,36.0,14.0,12.0,9.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17.0,66.0,82.0,54,61,3000.0,183.0,69.0,61.0,57.0,66.0,68.0,42.0,71.0,49.0,54.0,67.0,66.0,64.0,67.0,68.0,66.0,48.0,61.0,70.0,65.0,66.0,62.0,65.0,63.0,65.0,38.0,63.0,63.0,6.0,7.0,9.0,13.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30.0,76.0,76.0,0,0,0.0,176.0,73.0,76.0,69.0,66.0,74.0,49.0,75.0,73.0,47.0,67.0,76.0,84.0,82.0,78.0,70.0,71.0,77.0,81.0,88.0,71.0,59.0,65.0,66.0,69.0,65.0,68.0,72.0,9.0,7.0,8.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,65.0,79.0,8,72,4000.0,187.0,77.0,53.0,66.0,59.0,66.0,50.0,65.0,57.0,48.0,56.0,67.0,75.0,78.0,63.0,58.0,55.0,63.0,73.0,64.0,69.0,58.0,47.0,37.0,66.0,42.0,63.0,30.0,6.0,5.0,14.0,11.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18.0,59.0,77.0,169,48,2000.0,185.0,74.0,47.0,56.0,53.0,49.0,53.0,63.0,49.0,47.0,37.0,64.0,83.0,81.0,73.0,52.0,65.0,55.0,69.0,53.0,58.0,53.0,47.0,23.0,53.0,52.0,45.0,25.0,9.0,13.0,7.0,6.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
26.0,63.0,64.0,169,85,5000.0,178.0,70.0,61.0,60.0,47.0,62.0,60.0,63.0,65.0,47.0,59.0,66.0,69.0,68.0,66.0,62.0,74.0,66.0,56.0,50.0,56.0,62.0,30.0,23.0,53.0,60.0,59.0,35.0,9.0,11.0,11.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
24.0,61.0,63.0,138,48,2000.0,188.0,84.0,25.0,61.0,63.0,49.0,54.0,57.0,45.0,39.0,35.0,60.0,66.0,72.0,62.0,57.0,54.0,64.0,79.0,66.0,82.0,53.0,66.0,21.0,49.0,55.0,53.0,16.0,12.0,12.0,11.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23.0,64.0,72.0,3,98,6000.0,185.0,83.0,40.0,67.0,57.0,42.0,57.0,63.0,59.0,44.0,33.0,66.0,69.0,69.0,67.0,58.0,61.0,71.0,71.0,69.0,71.0,61.0,45.0,15.0,48.0,61.0,62.0,22.0,7.0,14.0,12.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20.0,63.0,73.0,1,61,3000.0,164.0,66.0,56.0,60.0,30.0,57.0,45.0,67.0,39.0,35.0,34.0,65.0,74.0,75.0,68.0,57.0,77.0,58.0,38.0,59.0,32.0,48.0,30.0,24.0,55.0,51.0,53.0,21.0,7.0,12.0,13.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26.0,63.0,66.0,178,30,1000.0,179.0,78.0,60.0,63.0,39.0,67.0,54.0,63.0,61.0,58.0,61.0,65.0,75.0,74.0,73.0,55.0,66.0,66.0,59.0,72.0,64.0,65.0,53.0,44.0,56.0,54.0,58.0,44.0,5.0,11.0,10.0,12.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
24.0,74.0,77.0,154,37,23000.0,180.0,72.0,74.0,59.0,56.0,75.0,64.0,74.0,68.0,66.0,73.0,74.0,76.0,73.0,78.0,74.0,77.0,72.0,75.0,79.0,73.0,71.0,68.0,72.0,75.0,57.0,74.0,68.0,7.0,15.0,12.0,8.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,61.0,70.0,184,98,6000.0,170.0,70.0,56.0,31.0,52.0,44.0,27.0,50.0,47.0,30.0,34.0,54.0,77.0,77.0,71.0,53.0,77.0,24.0,68.0,69.0,61.0,25.0,48.0,56.0,41.0,35.0,43.0,59.0,12.0,15.0,10.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29.0,71.0,71.0,6,34,21000.0,191.0,80.0,29.0,35.0,73.0,64.0,32.0,38.0,48.0,37.0,63.0,50.0,53.0,54.0,49.0,68.0,39.0,57.0,79.0,76.0,81.0,38.0,72.0,73.0,43.0,32.0,54.0,72.0,11.0,6.0,15.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,65.0,72.0,5,48,2000.0,185.0,76.0,51.0,70.0,57.0,54.0,56.0,63.0,53.0,42.0,48.0,67.0,72.0,73.0,67.0,65.0,57.0,63.0,69.0,57.0,61.0,63.0,37.0,18.0,56.0,47.0,58.0,18.0,10.0,6.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
27.0,80.0,80.0,69,106,75000.0,180.0,72.0,74.0,78.0,68.0,80.0,74.0,86.0,77.0,74.0,80.0,85.0,69.0,67.0,75.0,79.0,76.0,77.0,75.0,76.0,73.0,78.0,78.0,71.0,80.0,82.0,86.0,73.0,14.0,9.0,12.0,11.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
